::1 - - [06/Oct/2024:12:24:22 +0000] "GET /api/v1/user/logout HTTP/1.1" 200 793 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:45:20 +0000] "GET /api/v1/user-activity/my-reports HTTP/1.1" 500 695 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:47:43 +0000] "GET /api/v1/user-activity/my-reports HTTP/1.1" 500 695 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:48:33 +0000] "GET /api/v1/user-activity/my-reports HTTP/1.1" 500 695 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:48:59 +0000] "GET /api/v1/user-activity/my-reports HTTP/1.1" 200 746 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:51:19 +0000] "GET /api/v1/user-activity/my-reports?startDate=06-10-2024 HTTP/1.1" 200 746 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:51:49 +0000] "GET /api/v1/user-activity/my-reports?startDate=01-10-2024&endDate=02-10-2024 HTTP/1.1" 200 43 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:52:46 +0000] "GET /api/v1/user-activity/my-reports HTTP/1.1" 200 746 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:08:41 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 400 680 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:09:30 +0000] "POST /api/v1/user/register HTTP/1.1" 201 74 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:09:41 +0000] "POST /api/v1/user/register HTTP/1.1" 201 74 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:09:51 +0000] "POST /api/v1/user/register HTTP/1.1" 500 507 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:10:01 +0000] "POST /api/v1/user/register HTTP/1.1" 201 74 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:50:24 +0000] "POST /api/v1/user/register HTTP/1.1" 400 1017 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:50:34 +0000] "POST /api/v1/user/register HTTP/1.1" 400 1266 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:51:46 +0000] "GET /api/v1/bug/create-bug HTTP/1.1" 500 104 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:51:50 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 400 680 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:52:22 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 400 688 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:53:41 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 500 423 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:54:11 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 500 423 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:54:26 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 500 423 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:14:55:38 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 201 382 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:02:13 +0000] "POST /api/v1/bug/single-bug/6702a4ea823d334800f5c47e HTTP/1.1" 200 410 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:02:32 +0000] "GET /api/v1/bug/single-bug/6702a4ea823d334800f5c47e HTTP/1.1" 200 410 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:07:00 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 201 382 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:07:42 +0000] "DELETE /api/v1/bug/single-bug/6702a7948bae8064ad48f1e3 HTTP/1.1" 200 69 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:14:51 +0000] "PUT /api/v1/bug/single-bug/6702a4ea823d334800f5c47e HTTP/1.1" 400 694 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:15:07 +0000] "PUT /api/v1/bug/single-bug/6702a4ea823d334800f5c47e HTTP/1.1" 200 350 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:15:16 +0000] "GET /api/v1/bug/single-bug/6702a4ea823d334800f5c47e HTTP/1.1" 200 418 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:21:15 +0000] "PATCH /api/v1/bug/single-bug/6702a4ea823d334800f5c47e HTTP/1.1" 200 353 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:24:08 +0000] "PATCH /api/v1/bug/single-bug/6702a4ea823d334800f5c47e HTTP/1.1" 200 392 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:24:14 +0000] "GET /api/v1/bug/single-bug/6702a4ea823d334800f5c47e HTTP/1.1" 200 494 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:24:28 +0000] "PATCH /api/v1/bug/single-bug/6702a4ea823d334800f5c47e HTTP/1.1" 400 758 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:24:37 +0000] "PATCH /api/v1/bug/single-bug/6702a4ea823d334800f5c47e HTTP/1.1" 200 432 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:31:28 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 201 382 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:31:34 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 201 382 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:31:39 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 201 382 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:31:52 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 201 385 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:31:57 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 201 385 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:32:06 +0000] "POST /api/v1/bug/create-bug HTTP/1.1" 201 383 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:44:00 +0000] "GET /api/v1/bug/all-bugs HTTP/1.1" 200 5207 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:15:44:35 +0000] "GET /api/v1/bug/all-bugs HTTP/1.1" 200 2763 "-" "PostmanRuntime/7.42.0"
